job_title,company_name,location,post_Date,Qualifications,post_days_ago
Data Architect,Bank of America,"Salt Lake City, UT",24 days ago,Experience with big data technologies; PhD in Statistics,24
Data Engineer,Honeywell,"Detroit, MI",28 days ago,5+ years of experience; Strong analytical thinking; Experience in a fast-paced environment; Knowledge of machine learning algorithms,28
Quantitative Analyst,Tesla,"Kansas City, MO",7 days ago,Experience with big data technologies; 5+ years of experience; Experience with Agile methodologies; Knowledge of machine learning algorithms,7
Research Scientist,RingCentral,"Los Angeles, CA",27 days ago,PhD in Statistics; Strong analytical thinking,27
Data Architect,HP,"Atlanta, GA",2 days ago,Strong programming skills in Python; Experience with Agile methodologies; 5+ years of experience; Knowledge of statistical analysis,2
Data Scientist,Salesforce,"Birmingham, AL",11 days ago,Experience with big data technologies; Knowledge of statistical analysis; Experience with SQL,11
Data Architect,Ford Motor,"Philadelphia, PA",1 days ago,Strong programming skills in Python; Ability to work in teams; Proficiency in data visualization tools; Strong communication skills,1
Data Scientist,Nordstrom,"Cincinnati, OH",11 days ago,PhD in Statistics; Master's in Computer Science; Proficiency in data visualization tools,11
Machine Learning Engineer,ServiceNow,"Los Angeles, CA",28 days ago,Knowledge of statistical analysis; Ability to work in teams,28
Data Analyst,ExxonMobil,"Milwaukee, WI",26 days ago,Strong analytical thinking; 5+ years of experience; Master's in Computer Science,26
Data Architect,3M,"Goleta, CA",29 days ago,Strong communication skills; Excellent problem-solving skills; Experience in a fast-paced environment; Experience with Agile methodologies,29
Quantitative Analyst,Pfizer,"Cincinnati, OH",26 days ago,Knowledge of statistical analysis; Strong analytical thinking; Experience with Agile methodologies; Strong programming skills in Python,26
Data Architect,PepsiCo,"Denver, CO",2 days ago,Familiarity with cloud services; Strong analytical thinking; Knowledge of machine learning algorithms; Excellent problem-solving skills,2
Machine Learning Engineer,Target,"Mountain View, CA",27 days ago,Excellent problem-solving skills; Knowledge of statistical analysis; Proficiency in data visualization tools; Master's in Computer Science,27
Data Architect,UnitedHealth Group,"Nashville, TN",8 days ago,Strong programming skills in Python; Knowledge of machine learning algorithms,8
Business Analyst,Thermo Fisher Scientific,"Cincinnati, OH",3 days ago,Excellent problem-solving skills; Strong communication skills; PhD in Statistics,3
Data Engineer,RingCentral,"Louisville, KY",12 days ago,Excellent problem-solving skills; Ability to work in teams,12
Business Analyst,Boeing,"Louisville, KY",17 days ago,Experience in a fast-paced environment; PhD in Statistics; Experience with Agile methodologies; 5+ years of experience,17
Data Architect,Delta Air Lines,"Atlanta, GA",29 days ago,Excellent problem-solving skills; 5+ years of experience; Familiarity with cloud services; Ability to work in teams,29
Research Scientist,Honeywell,"Charlotte, NC",7 days ago,Experience with big data technologies; Ability to work in teams; PhD in Statistics,7
Data Engineer,Zebra Technologies,"Dallas, TX",20 days ago,Familiarity with cloud services; Experience with SQL; Proficiency in data visualization tools,20
Quantitative Analyst,Honeywell,"Milwaukee, WI",28 days ago,Knowledge of machine learning algorithms; Strong communication skills; Knowledge of statistical analysis,28
Research Scientist,Uber Technologies,"Phoenix, AZ",27 days ago,Experience with big data technologies; Strong analytical thinking; Strong programming skills in Python; 5+ years of experience,27
Data Scientist,Uber Technologies,"Seattle, WA",30 days ago,Proficiency in data visualization tools; Ability to work in teams; 5+ years of experience; Experience with Agile methodologies,30
Business Analyst,Visa,"Portland, OR",14 days ago,Excellent problem-solving skills; 5+ years of experience; Experience in a fast-paced environment,14
Statistician,Starbucks,"Boston, MA",29 days ago,PhD in Statistics; Experience with SQL; Ability to work in teams; Strong communication skills,29
Research Scientist,PepsiCo,"Mountain View, CA",10 days ago,Master's in Computer Science; Experience with Agile methodologies,10
Machine Learning Engineer,Oracle,"Atlanta, GA",18 days ago,Strong communication skills; Experience with SQL; Excellent problem-solving skills; Knowledge of statistical analysis,18
Data Scientist,Gilead Sciences,"Chicago, IL",10 days ago,Knowledge of statistical analysis; Strong programming skills in Python; Strong analytical thinking; Ability to work in teams,10
Data Analyst,Marriott International,"Philadelphia, PA",13 days ago,Ability to work in teams; Experience with SQL; Knowledge of machine learning algorithms,13
Data Architect,Procter & Gamble,"Houston, TX",19 days ago,Excellent problem-solving skills; PhD in Statistics; Ability to work in teams; Strong communication skills,19
Machine Learning Engineer,PepsiCo,"Goleta, CA",10 days ago,Knowledge of statistical analysis; Experience in a fast-paced environment; Experience with SQL,10
Machine Learning Engineer,JPMorgan Chase,"Raleigh, NC",23 days ago,Strong communication skills; Familiarity with cloud services; Ability to work in teams,23
Quantitative Analyst,Visa,"Boston, MA",21 days ago,Experience with Agile methodologies; Knowledge of machine learning algorithms; PhD in Statistics; Strong communication skills,21
Quantitative Analyst,Square,"Milwaukee, WI",15 days ago,Knowledge of statistical analysis; Master's in Computer Science; Excellent problem-solving skills,15
Quantitative Analyst,PayPal,"Omaha, NE",5 days ago,Knowledge of machine learning algorithms; Experience with SQL; Knowledge of statistical analysis; Proficiency in data visualization tools,5
Data Architect,Danaher,"Oklahoma City, OK",4 days ago,Experience with big data technologies; Strong programming skills in Python,4
Machine Learning Engineer,Procter & Gamble,"Louisville, KY",27 days ago,PhD in Statistics; Excellent problem-solving skills; Experience with SQL; Experience with big data technologies,27
Data Scientist,Morgan Stanley,"Salt Lake City, UT",16 days ago,Ability to work in teams; Experience in a fast-paced environment; Familiarity with cloud services; Strong analytical thinking,16
Data Architect,Honeywell,"Kansas City, MO",9 days ago,Strong programming skills in Python; Familiarity with cloud services,9
Business Analyst,Goldman Sachs,"Detroit, MI",22 days ago,5+ years of experience; Knowledge of machine learning algorithms; Strong communication skills; Excellent problem-solving skills,22
Statistician,Pfizer,"Pittsburgh, PA",2 days ago,Proficiency in data visualization tools; 5+ years of experience,2
Data Engineer,UnitedHealth Group,"Atlanta, GA",5 days ago,Strong analytical thinking; Master's in Computer Science; Strong communication skills; Excellent problem-solving skills,5
Data Engineer,PepsiCo,"Omaha, NE",25 days ago,5+ years of experience; Experience with SQL; Familiarity with cloud services,25
AI Researcher,Pfizer,"Seattle, WA",1 days ago,Strong programming skills in Python; Familiarity with cloud services,1
Business Analyst,Adobe,"Washington, D.C.",16 days ago,Experience with SQL; Knowledge of statistical analysis; Strong programming skills in Python; Ability to work in teams,16
Data Scientist,Morgan Stanley,"Charlotte, NC",16 days ago,Strong communication skills; Experience with Agile methodologies,16
Data Engineer,ServiceNow,"Pittsburgh, PA",5 days ago,PhD in Statistics; Experience with Agile methodologies; 5+ years of experience; Strong programming skills in Python,5
Business Analyst,Starbucks,"Austin, TX",20 days ago,Experience with Agile methodologies; Excellent problem-solving skills,20
Machine Learning Engineer,Pinterest,"Atlanta, GA",3 days ago,Knowledge of machine learning algorithms; Experience with big data technologies; Ability to work in teams; Proficiency in data visualization tools,3
Data Architect,Delta Air Lines,"Philadelphia, PA",19 days ago,Ability to work in teams; Excellent problem-solving skills; Experience with SQL,19
Data Architect,ExxonMobil,"Houston, TX",20 days ago,Excellent problem-solving skills; Experience with big data technologies; Strong programming skills in Python,20
Statistician,Tesla,"Tucson, AZ",10 days ago,Strong communication skills; 5+ years of experience; Experience with SQL,10
Data Engineer,Delta Air Lines,"Indianapolis, IN",30 days ago,Ability to work in teams; Strong programming skills in Python,30
Data Engineer,Berkshire Hathaway,"Long Beach, CA",23 days ago,Knowledge of machine learning algorithms; Experience with Agile methodologies; PhD in Statistics; Knowledge of statistical analysis,23
Statistician,Delta Air Lines,"San Diego, CA",29 days ago,Ability to work in teams; Strong analytical thinking; PhD in Statistics,29
Machine Learning Engineer,Lockheed Martin,"Tucson, AZ",15 days ago,Knowledge of machine learning algorithms; Strong programming skills in Python; Ability to work in teams,15
Statistician,Delta Air Lines,"Oklahoma City, OK",27 days ago,Experience with big data technologies; Strong communication skills,27
Machine Learning Engineer,3M,"Philadelphia, PA",17 days ago,Strong analytical thinking; Familiarity with cloud services; 5+ years of experience; Ability to work in teams,17
Data Scientist,Alphabet,"San Francisco, CA",22 days ago,5+ years of experience; Strong programming skills in Python,22
Data Scientist,Salesforce,"Washington, D.C.",27 days ago,Master's in Computer Science; Proficiency in data visualization tools,27
Statistician,Caterpillar,"Houston, TX",9 days ago,Strong programming skills in Python; Familiarity with cloud services; Experience in a fast-paced environment; Strong analytical thinking,9
AI Researcher,Caterpillar,"Washington, D.C.",16 days ago,Strong communication skills; Familiarity with cloud services,16
Data Architect,Verizon,"Atlanta, GA",2 days ago,Experience with SQL; Experience in a fast-paced environment,2
Quantitative Analyst,Verizon,"Oklahoma City, OK",27 days ago,Familiarity with cloud services; Knowledge of machine learning algorithms; PhD in Statistics,27
Business Analyst,Verizon,"Tampa, FL",28 days ago,Master's in Computer Science; Ability to work in teams; Excellent problem-solving skills,28
Statistician,HP,"Denver, CO",17 days ago,5+ years of experience; PhD in Statistics,17
Data Architect,CrowdStrike,"Oklahoma City, OK",15 days ago,Proficiency in data visualization tools; Strong communication skills; Knowledge of machine learning algorithms; Master's in Computer Science,15
Business Analyst,Adobe,"Minneapolis, MN",16 days ago,PhD in Statistics; Strong programming skills in Python; 5+ years of experience,16
Data Analyst,Goldman Sachs,"Austin, TX",10 days ago,Strong programming skills in Python; Strong analytical thinking; 5+ years of experience,10
Data Engineer,DraftKings,"Cincinnati, OH",20 days ago,5+ years of experience; Experience with SQL; Knowledge of machine learning algorithms; Experience in a fast-paced environment,20
Quantitative Analyst,Salesforce,"Boston, MA",18 days ago,Excellent problem-solving skills; Proficiency in data visualization tools; Experience with Agile methodologies; Familiarity with cloud services,18
Statistician,DraftKings,"Omaha, NE",1 days ago,Strong analytical thinking; Knowledge of statistical analysis; Proficiency in data visualization tools,1
Data Engineer,Hilton,"Birmingham, AL",17 days ago,Experience with Agile methodologies; 5+ years of experience; Familiarity with cloud services,17
Quantitative Analyst,General Motors,"Seattle, WA",22 days ago,Strong programming skills in Python; 5+ years of experience; Experience with Agile methodologies; Excellent problem-solving skills,22
Research Scientist,Starbucks,"Oklahoma City, OK",18 days ago,Strong communication skills; Strong programming skills in Python; Master's in Computer Science; Experience with Agile methodologies,18
Data Engineer,Kroger,"Denver, CO",18 days ago,Ability to work in teams; PhD in Statistics,18
Quantitative Analyst,Johnson & Johnson,"Tampa, FL",6 days ago,Strong analytical thinking; 5+ years of experience,6
Quantitative Analyst,BlackRock,"Miami, FL",1 days ago,Ability to work in teams; Experience with big data technologies; PhD in Statistics; Proficiency in data visualization tools,1
Data Analyst,Lyft,"San Francisco, CA",25 days ago,Master's in Computer Science; Proficiency in data visualization tools,25
Data Architect,Honeywell,"Phoenix, AZ",8 days ago,Experience with big data technologies; Experience with SQL,8
Quantitative Analyst,Walmart,"Sacramento, CA",16 days ago,Strong communication skills; 5+ years of experience; Proficiency in data visualization tools,16
Data Analyst,Booking Holdings,"Charlotte, NC",3 days ago,Knowledge of statistical analysis; Strong communication skills; PhD in Statistics,3
Data Architect,Intuit,"Kansas City, MO",4 days ago,Ability to work in teams; Strong analytical thinking; Excellent problem-solving skills; Strong programming skills in Python,4
AI Researcher,Honeywell,"Kansas City, MO",3 days ago,Master's in Computer Science; Knowledge of machine learning algorithms,3
Data Engineer,NVIDIA,"Long Beach, CA",19 days ago,Experience in a fast-paced environment; Excellent problem-solving skills,19
Machine Learning Engineer,Target,"New Orleans, LA",9 days ago,Strong programming skills in Python; Knowledge of statistical analysis,9
Research Scientist,Adobe,"New York, NY",25 days ago,Strong communication skills; Excellent problem-solving skills,25
AI Researcher,Pinterest,"Tucson, AZ",20 days ago,Ability to work in teams; Strong communication skills; Proficiency in data visualization tools; PhD in Statistics,20
Data Analyst,Snap Inc.,"Cincinnati, OH",27 days ago,Knowledge of statistical analysis; Strong communication skills; Strong programming skills in Python,27
Quantitative Analyst,Nordstrom,"Indianapolis, IN",13 days ago,Strong programming skills in Python; Ability to work in teams,13
Quantitative Analyst,American Express,"Nashville, TN",26 days ago,Experience in a fast-paced environment; Master's in Computer Science,26
Data Engineer,Salesforce,"Louisville, KY",16 days ago,Strong analytical thinking; 5+ years of experience,16
Data Scientist,Danaher,"New York, NY",19 days ago,Knowledge of machine learning algorithms; Knowledge of statistical analysis,19
Data Scientist,IBM,"Philadelphia, PA",30 days ago,Experience with big data technologies; Excellent problem-solving skills,30
Business Analyst,Alphabet,"Columbus, OH",27 days ago,Excellent problem-solving skills; Ability to work in teams,27
Research Scientist,PepsiCo,"Long Beach, CA",29 days ago,Proficiency in data visualization tools; Excellent problem-solving skills; Ability to work in teams,29
AI Researcher,Visa,"San Jose, CA",5 days ago,Experience with big data technologies; Strong programming skills in Python; Knowledge of statistical analysis,5
Data Architect,T. Rowe Price,"Seattle, WA",4 days ago,Experience with big data technologies; Proficiency in data visualization tools; Strong communication skills; Strong programming skills in Python,4
Statistician,Amazon,"Miami, FL",23 days ago,Familiarity with cloud services; Knowledge of statistical analysis,23
Data Analyst,Thermo Fisher Scientific,"Omaha, NE",14 days ago,Excellent problem-solving skills; Strong programming skills in Python; Strong communication skills,14
Statistician,Amazon,"Cleveland, OH",25 days ago,5+ years of experience; Proficiency in data visualization tools,25
Research Scientist,General Motors,"Nashville, TN",4 days ago,Proficiency in data visualization tools; Knowledge of statistical analysis; Master's in Computer Science; Experience with SQL,4
Machine Learning Engineer,Berkshire Hathaway,"Washington, D.C.",5 days ago,Experience with big data technologies; 5+ years of experience,5
Data Scientist,Procter & Gamble,"New Orleans, LA",4 days ago,Strong analytical thinking; PhD in Statistics; Strong communication skills,4
Data Scientist,Chevron,"Tucson, AZ",25 days ago,Experience with big data technologies; Experience with Agile methodologies; Proficiency in data visualization tools; 5+ years of experience,25
AI Researcher,Apple,"San Jose, CA",14 days ago,Experience with big data technologies; Experience in a fast-paced environment; Master's in Computer Science,14
Business Analyst,AbbVie,"Tampa, FL",27 days ago,Strong communication skills; Strong programming skills in Python; PhD in Statistics,27
AI Researcher,Mastercard,"Nashville, TN",20 days ago,Excellent problem-solving skills; Master's in Computer Science; Experience with Agile methodologies; Knowledge of machine learning algorithms,20
Data Engineer,AT&T,"Philadelphia, PA",23 days ago,Knowledge of statistical analysis; Experience with big data technologies; Experience with SQL; Master's in Computer Science,23
Research Scientist,AbbVie,"New York, NY",16 days ago,Familiarity with cloud services; Ability to work in teams; Strong programming skills in Python; 5+ years of experience,16
Machine Learning Engineer,Procter & Gamble,"Indianapolis, IN",27 days ago,Familiarity with cloud services; Knowledge of statistical analysis; Experience with big data technologies; Strong communication skills,27
Data Engineer,Square,"Atlanta, GA",11 days ago,Strong communication skills; Knowledge of machine learning algorithms,11
Business Analyst,Coinbase,"Virginia Beach, VA",12 days ago,Knowledge of statistical analysis; 5+ years of experience; Master's in Computer Science; Excellent problem-solving skills,12
Machine Learning Engineer,Nordstrom,"New York, NY",29 days ago,Master's in Computer Science; Proficiency in data visualization tools; Strong communication skills,29
Research Scientist,DraftKings,"Los Angeles, CA",3 days ago,5+ years of experience; Master's in Computer Science,3
Data Engineer,DraftKings,"Dallas, TX",27 days ago,Excellent problem-solving skills; Strong analytical thinking,27
Data Architect,AbbVie,"Charlotte, NC",17 days ago,Strong programming skills in Python; Experience in a fast-paced environment; Strong analytical thinking,17
Statistician,Morgan Stanley,"Columbus, OH",7 days ago,Strong communication skills; Ability to work in teams; Master's in Computer Science; PhD in Statistics,7
Data Scientist,T-Mobile,"Pittsburgh, PA",6 days ago,Proficiency in data visualization tools; 5+ years of experience; Familiarity with cloud services,6
Data Architect,Lockheed Martin,"Nashville, TN",25 days ago,Strong analytical thinking; Knowledge of machine learning algorithms; Experience with big data technologies; 5+ years of experience,25
Machine Learning Engineer,Square,"New York, NY",24 days ago,Master's in Computer Science; Familiarity with cloud services; Ability to work in teams; Strong analytical thinking,24
Data Scientist,Thermo Fisher Scientific,"Omaha, NE",5 days ago,Experience in a fast-paced environment; Excellent problem-solving skills; 5+ years of experience; Master's in Computer Science,5
Business Analyst,Lockheed Martin,"Detroit, MI",8 days ago,Strong analytical thinking; Excellent problem-solving skills; Experience in a fast-paced environment; Proficiency in data visualization tools,8
Quantitative Analyst,Kroger,"Philadelphia, PA",7 days ago,Knowledge of statistical analysis; Excellent problem-solving skills; Experience with Agile methodologies; PhD in Statistics,7
Business Analyst,Ford Motor,"Washington, D.C.",20 days ago,Strong analytical thinking; Familiarity with cloud services; Experience with Agile methodologies,20
Data Engineer,CrowdStrike,"Tucson, AZ",9 days ago,Ability to work in teams; Experience with Agile methodologies; Strong analytical thinking; Experience in a fast-paced environment,9
Data Architect,AT&T,"Portland, OR",22 days ago,Ability to work in teams; Proficiency in data visualization tools; Strong analytical thinking,22
Quantitative Analyst,HP,"Houston, TX",16 days ago,Experience with Agile methodologies; Knowledge of statistical analysis; Experience with SQL,16
Business Analyst,T-Mobile,"Tucson, AZ",3 days ago,Ability to work in teams; Master's in Computer Science; 5+ years of experience; Familiarity with cloud services,3
Business Analyst,Lowe's,"Atlanta, GA",19 days ago,5+ years of experience; Experience in a fast-paced environment; PhD in Statistics; Strong communication skills,19
Data Architect,Thermo Fisher Scientific,"Louisville, KY",6 days ago,Knowledge of statistical analysis; Experience in a fast-paced environment; Familiarity with cloud services; Strong programming skills in Python,6
Business Analyst,Pfizer,"Houston, TX",14 days ago,Knowledge of machine learning algorithms; Strong communication skills,14
Business Analyst,NVIDIA,"Phoenix, AZ",19 days ago,Experience with SQL; Master's in Computer Science,19
Data Architect,T. Rowe Price,"Mountain View, CA",24 days ago,Strong analytical thinking; Experience with big data technologies; Experience with SQL,24
Data Architect,Procter & Gamble,"Philadelphia, PA",9 days ago,Excellent problem-solving skills; Proficiency in data visualization tools; Experience in a fast-paced environment,9
Business Analyst,General Electric,"Long Beach, CA",24 days ago,Experience with Agile methodologies; Experience with SQL; Knowledge of statistical analysis,24
Research Scientist,Intel,"Washington, D.C.",21 days ago,Experience in a fast-paced environment; Knowledge of statistical analysis,21
Research Scientist,Johnson & Johnson,"Philadelphia, PA",20 days ago,Strong analytical thinking; Experience in a fast-paced environment,20
Business Analyst,Salesforce,"Sacramento, CA",22 days ago,Familiarity with cloud services; Knowledge of statistical analysis,22
Machine Learning Engineer,Delta Air Lines,"San Diego, CA",22 days ago,Strong communication skills; Strong analytical thinking; Excellent problem-solving skills,22
Data Analyst,AbbVie,"Goleta, CA",10 days ago,Experience with big data technologies; Master's in Computer Science; Familiarity with cloud services,10
Business Analyst,Alibaba,"Nashville, TN",20 days ago,Strong analytical thinking; Proficiency in data visualization tools; 5+ years of experience,20
Data Engineer,PepsiCo,"Los Angeles, CA",27 days ago,Knowledge of statistical analysis; Master's in Computer Science; Strong communication skills; Experience with Agile methodologies,27
Statistician,CrowdStrike,"Birmingham, AL",22 days ago,Knowledge of machine learning algorithms; Proficiency in data visualization tools,22
Quantitative Analyst,Coca-Cola,"Tampa, FL",28 days ago,Experience with Agile methodologies; Proficiency in data visualization tools; Experience with SQL,28
Business Analyst,Verizon,"Long Beach, CA",30 days ago,Experience with Agile methodologies; Experience with SQL; Strong communication skills,30
Machine Learning Engineer,Lyft,"Houston, TX",28 days ago,PhD in Statistics; 5+ years of experience; Strong programming skills in Python,28
Statistician,Shopify,"Milwaukee, WI",22 days ago,Experience with big data technologies; Strong programming skills in Python; Knowledge of machine learning algorithms,22
Data Scientist,JPMorgan Chase,"San Jose, CA",2 days ago,Strong programming skills in Python; Knowledge of machine learning algorithms; Experience in a fast-paced environment,2
Data Scientist,Meta,"Tucson, AZ",26 days ago,Ability to work in teams; Experience with big data technologies,26
Data Architect,Pfizer,"Louisville, KY",28 days ago,Knowledge of machine learning algorithms; Familiarity with cloud services,28
Data Analyst,CVS Health,"Virginia Beach, VA",28 days ago,Strong programming skills in Python; 5+ years of experience,28
Data Scientist,Chevron,"Detroit, MI",17 days ago,Ability to work in teams; Strong analytical thinking,17
Data Scientist,American Airlines,"Dallas, TX",29 days ago,Experience with Agile methodologies; Experience with SQL; 5+ years of experience,29
Data Architect,NVIDIA,"Fresno, CA",17 days ago,PhD in Statistics; Strong programming skills in Python; Ability to work in teams; Master's in Computer Science,17
Research Scientist,AIG,"San Diego, CA",14 days ago,Ability to work in teams; Strong analytical thinking; Experience with SQL,14
Machine Learning Engineer,Booking Holdings,"Cleveland, OH",3 days ago,Strong analytical thinking; Strong communication skills,3
Statistician,Verizon,"Nashville, TN",12 days ago,Knowledge of machine learning algorithms; Familiarity with cloud services; Experience with Agile methodologies,12
Data Analyst,Goldman Sachs,"New Orleans, LA",12 days ago,5+ years of experience; Knowledge of machine learning algorithms; Experience with Agile methodologies; Experience in a fast-paced environment,12
Data Engineer,Pfizer,"Atlanta, GA",3 days ago,5+ years of experience; Strong communication skills; Proficiency in data visualization tools; Experience with big data technologies,3
Quantitative Analyst,Pfizer,"Indianapolis, IN",20 days ago,Experience in a fast-paced environment; Excellent problem-solving skills; Experience with big data technologies; Knowledge of statistical analysis,20
Data Engineer,NVIDIA,"Omaha, NE",6 days ago,Strong communication skills; Master's in Computer Science; Experience with SQL; Knowledge of machine learning algorithms,6
Machine Learning Engineer,Starbucks,"Tampa, FL",14 days ago,Master's in Computer Science; Excellent problem-solving skills; Strong communication skills; Experience with Agile methodologies,14
Quantitative Analyst,Starbucks,"Goleta, CA",12 days ago,Experience with SQL; Experience with big data technologies,12
Business Analyst,ServiceNow,"Portland, OR",15 days ago,Master's in Computer Science; Experience with Agile methodologies; Strong programming skills in Python,15
Data Analyst,RingCentral,"Nashville, TN",25 days ago,Experience with SQL; Excellent problem-solving skills; 5+ years of experience,25
Data Scientist,Ford Motor,"Raleigh, NC",17 days ago,Knowledge of statistical analysis; Knowledge of machine learning algorithms; Strong communication skills; Experience with Agile methodologies,17
Data Architect,Pfizer,"Dallas, TX",8 days ago,Strong communication skills; Experience in a fast-paced environment; Familiarity with cloud services; Excellent problem-solving skills,8
Data Scientist,Twilio,"Atlanta, GA",28 days ago,Knowledge of machine learning algorithms; PhD in Statistics; Familiarity with cloud services; 5+ years of experience,28
Data Engineer,American Express,"Louisville, KY",8 days ago,Experience with Agile methodologies; Knowledge of statistical analysis; Strong communication skills,8
Statistician,Netflix,"Long Beach, CA",11 days ago,Strong programming skills in Python; Experience with Agile methodologies; Strong communication skills,11
Data Analyst,Tesla,"Milwaukee, WI",24 days ago,Strong communication skills; Ability to work in teams; Excellent problem-solving skills,24
Statistician,Walt Disney,"Long Beach, CA",30 days ago,Familiarity with cloud services; Strong programming skills in Python,30
AI Researcher,AIG,"Oklahoma City, OK",15 days ago,Strong analytical thinking; Strong communication skills; Ability to work in teams; Proficiency in data visualization tools,15
Statistician,Anthem,"San Francisco, CA",7 days ago,Master's in Computer Science; Experience with big data technologies; Experience with SQL; Excellent problem-solving skills,7
Data Scientist,American Airlines,"Baltimore, MD",8 days ago,5+ years of experience; Experience with big data technologies; Strong programming skills in Python; Knowledge of machine learning algorithms,8
